Seed,Model,Model_raw_MSE,Model_processed_MSE,Model_raw_rmse,Model_processed_rmse,Model_raw_r2,Model_processed_r2,Model_raw_MAE,Model_processed_MAE
10,GBR,681803808.2538117,0.01469216303484556,26111.37315910084,0.12121123312154514,0.8934178081877756,0.9008180635868196,17263.612599001237,0.08576341243176319
11,LR,1418580142.559547,0.02363774476453287,37664.04309894978,0.15374571462168587,0.8090799913764705,0.8430099431444044,21321.952287177515,0.09775518079689263
11,XGB,1485538426.8749194,0.0230886422677433,38542.68318208943,0.1519494727458549,0.8000683917950453,0.84665680679613,18004.80681453339,0.10386125086330014
11,GBR,1158532994.7276402,0.01811570491391931,34037.22953954449,0.1345945946682827,0.8440785101186062,0.8796845649724322,17633.96228643741,0.09063152689785219
12,LR,1803804733.9264832,0.019338397816977545,42471.22242091088,0.1390625679936105,0.712170976851489,0.890774338105351,20511.567680933706,0.09187174987118331
12,XGB,991790261.3878596,0.0240594345391294,31492.701716236726,0.1551110393851108,0.8417422813376936,0.8641093389835894,17956.003183861303,0.10480902329203562
12,GBR,1169492678.3119595,0.020019243007216254,34197.84610632605,0.141489374184835,0.8133867104089847,0.8869288402903084,17720.699469075986,0.09396550637386275
13,LR,3913183228.934577,0.018078128347612868,62555.44124162643,0.13445493054407812,0.3930207649964321,0.8811268360013894,23327.305297590283,0.0885858201569089
13,XGB,2752467215.820459,0.020988273831648457,52463.96111446846,0.14487330268772247,0.5730610228834152,0.8619911049825719,22520.62926744435,0.09769716854123187
13,GBR,2059923050.1780374,0.017751993755904864,45386.37516015172,0.1332366081672183,0.6804825013257294,0.8832713417854101,19805.286965986408,0.08849747096760538
14,LR,884077120.2975087,0.013070998268463549,29733.434384502383,0.11432846657094439,0.8380108108175203,0.9158491019863283,19003.782585771118,0.07944142995390778
14,XGB,911537966.2053154,0.01610954197129314,30191.68703807913,0.1269233704693235,0.832979168146603,0.8962870015258136,18457.733010488013,0.08922834892124337
14,GBR,563077548.8612497,0.013307783737193083,23729.25512655738,0.11535936779123351,0.8968274673184651,0.9143246805595232,15511.251088686926,0.08235362271127389
15,LR,1021448282.2232459,0.01458536417363523,31960.10454024276,0.1207698810698894,0.838531055164367,0.899405249579063,19350.747951141777,0.0828107161924374
15,XGB,677467984.0174955,0.016944236188146576,26028.215152359095,0.1301700279947215,0.8929069220214123,0.8831361911757335,16553.890210295376,0.09131976309589365
15,GBR,613479584.814307,0.014947597773742187,24768.520036819056,0.12226036877803938,0.9030221079597268,0.8969069370129151,15786.722227529195,0.08663306600798006
16,LR,4677849350.790787,0.23654242277071968,68394.80499855809,0.4863562714417484,0.3432830757153257,-0.3976724031874559,21286.073454399633,0.12130827381704608
16,XGB,1963028989.8458872,0.015716760002124762,44306.082989200106,0.12536650271154876,0.7244130232036412,0.9071334373547756,20449.84111461901,0.08920773279315632
16,GBR,2198469644.072814,0.013806612194579895,46887.84111123921,0.11750154124342325,0.6913598291606692,0.9184200422916088,19603.821296763526,0.08460190085792836
17,LR,830471386.1915616,0.01756214700929653,28817.90044731853,0.13252225099694212,0.8651547878876436,0.890798988620623,19292.501676951368,0.08509108503386352
17,XGB,725744281.6570871,0.018017515247580426,26939.64145375894,0.13422933825203948,0.8821595262322428,0.8879675197720635,17646.81124250856,0.09514031074904532
17,GBR,696444241.9277856,0.015651848310106502,26390.23004689019,0.1251073471467863,0.8869170291852546,0.9026771803860053,17059.891645377076,0.08563809928842991
18,LR,1251003069.89725,0.021159319783303213,35369.52176517587,0.14546243426845026,0.8075246663944755,0.8757614660917126,20640.147200362324,0.09231611803186131
18,XGB,610379819.1406655,0.01974596798015866,24705.86608764537,0.14052034721049708,0.9060889120561242,0.8840600672621469,16652.434784353594,0.10045126919946541
18,GBR,471082884.7574278,0.01701695869367881,21704.443894221935,0.1304490655147779,0.9275206931290856,0.9000836500732494,14671.603468986043,0.09200810969254343
19,LR,93282071410.1759,0.03455869542094946,305421.1377920263,0.1858996918258593,-23.088429302089715,0.7591581639869519,42252.53525433475,0.10017307912378438
19,XGB,995958495.1056857,0.01724771443261761,31558.810102817337,0.13133055407108282,0.7428115024196187,0.8797995364008376,17647.446489726026,0.09148383073692577
19,GBR,1257550536.2214243,0.015664217032423548,35461.95900146274,0.12515676982258508,0.6752600287747226,0.8908350346029323,17248.20060784523,0.0851317221600515
